channel,end_of_month,seasonality,target_revenue,target_revenue_growth,target_perc_gross_margin,target_gross_margin_eur,target_share_channels
Amazon,31/01/2022,0.07,"56,298.06",0.15,0.23,"12,948.55",0.00
Amazon,28/02/2022,0.06,"51,710.81",0.15,0.23,"11,893.49",0.00
Amazon,31/03/2022,0.07,"61,719.35",0.15,0.23,"14,195.45",0.00
Amazon,30/04/2022,0.07,"60,885.31",0.15,0.23,"14,003.62",0.00
Amazon,31/05/2022,0.08,"63,387.44",0.15,0.23,"14,579.11",0.00
Amazon,30/06/2022,0.08,"65,055.53",0.15,0.23,"14,962.77",0.00
Amazon,31/07/2022,0.08,"65,472.55",0.15,0.23,"15,058.69",0.00
Amazon,31/08/2022,0.08,"65,889.58",0.15,0.23,"15,154.60",0.00
Amazon,30/09/2022,0.08,"68,391.71",0.15,0.23,"15,730.09",0.00
Amazon,31/10/2022,0.09,"76,732.17",0.15,0.23,"17,648.40",0.00
Amazon,30/11/2022,0.13,"109,259.93",0.15,0.23,"25,129.78",0.00
Amazon,31/12/2022,0.11,"89,242.85",0.15,0.23,"20,525.85",0.00
B2B Verkauf,31/01/2022,0.07,0.00,-1.00,,,0.00
B2B Verkauf,28/02/2022,0.06,0.00,-1.00,,,0.00
B2B Verkauf,31/03/2022,0.07,0.00,-1.00,,,0.00
B2B Verkauf,30/04/2022,0.07,0.00,-1.00,,,0.00
B2B Verkauf,31/05/2022,0.08,0.00,-1.00,,,0.00
B2B Verkauf,30/06/2022,0.08,0.00,-1.00,,,0.00
B2B Verkauf,31/07/2022,0.08,0.00,-1.00,,,0.00
B2B Verkauf,31/08/2022,0.08,0.00,-1.00,,,0.00
B2B Verkauf,30/09/2022,0.08,0.00,-1.00,,,0.00
B2B Verkauf,31/10/2022,0.09,0.00,-1.00,,,0.00
B2B Verkauf,30/11/2022,0.13,0.00,-1.00,,,0.00
B2B Verkauf,31/12/2022,0.11,0.00,-1.00,,,0.00
Back Market,31/01/2022,0.07,"993,045.67",0.15,0.27,"268,122.33",0.08
Back Market,28/02/2022,0.06,"912,130.83",0.15,0.27,"246,275.33",0.08
Back Market,31/03/2022,0.07,"1,088,672.29",0.15,0.27,"293,941.52",0.08
Back Market,30/04/2022,0.07,"1,073,960.50",0.15,0.27,"289,969.33",0.08
Back Market,31/05/2022,0.08,"1,118,095.86",0.15,0.27,"301,885.88",0.08
Back Market,30/06/2022,0.08,"1,147,519.44",0.15,0.27,"309,830.25",0.08
Back Market,31/07/2022,0.08,"1,154,875.33",0.15,0.27,"311,816.34",0.08
Back Market,31/08/2022,0.08,"1,162,231.23",0.15,0.27,"313,802.43",0.08
Back Market,30/09/2022,0.08,"1,206,366.59",0.15,0.27,"325,718.98",0.08
Back Market,31/10/2022,0.09,"1,353,484.46",0.15,0.27,"365,440.81",0.08
Back Market,30/11/2022,0.13,"1,927,244.18",0.15,0.27,"520,355.93",0.08
Back Market,31/12/2022,0.11,"1,574,161.28",0.15,0.27,"425,023.55",0.08
Cdiscount,31/01/2022,0.07,"115,567.53",0.20,0.24,"27,736.21",0.01
Cdiscount,28/02/2022,0.06,"106,150.92",0.20,0.24,"25,476.22",0.01
Cdiscount,31/03/2022,0.07,"126,696.26",0.20,0.24,"30,407.10",0.01
Cdiscount,30/04/2022,0.07,"124,984.14",0.20,0.24,"29,996.19",0.01
Cdiscount,31/05/2022,0.08,"130,120.48",0.20,0.24,"31,228.92",0.01
Cdiscount,30/06/2022,0.08,"133,544.70",0.20,0.24,"32,050.73",0.01
Cdiscount,31/07/2022,0.08,"134,400.76",0.20,0.24,"32,256.18",0.01
Cdiscount,31/08/2022,0.08,"135,256.81",0.20,0.24,"32,461.64",0.01
Cdiscount,30/09/2022,0.08,"140,393.15",0.20,0.24,"33,694.36",0.01
Cdiscount,31/10/2022,0.09,"157,514.26",0.20,0.24,"37,803.42",0.01
Cdiscount,30/11/2022,0.13,"224,286.62",0.20,0.24,"53,828.79",0.01
Cdiscount,31/12/2022,0.11,"183,195.94",0.20,0.24,"43,967.03",0.01
eBay,31/01/2022,0.07,"749,639.11",0.15,0.16,"119,942.26",0.06
eBay,28/02/2022,0.06,"688,557.41",0.15,0.16,"110,169.19",0.06
eBay,31/03/2022,0.07,"821,826.58",0.15,0.16,"131,492.25",0.06
eBay,30/04/2022,0.07,"810,720.82",0.15,0.16,"129,715.33",0.06
eBay,31/05/2022,0.08,"844,038.11",0.15,0.16,"135,046.10",0.06
eBay,30/06/2022,0.08,"866,249.64",0.15,0.16,"138,599.94",0.06
eBay,31/07/2022,0.08,"871,802.52",0.15,0.16,"139,488.40",0.06
eBay,31/08/2022,0.08,"877,355.41",0.15,0.16,"140,376.86",0.06
eBay,30/09/2022,0.08,"910,672.70",0.15,0.16,"145,707.63",0.06
eBay,31/10/2022,0.09,"1,021,730.35",0.15,0.16,"163,476.86",0.06
eBay,30/11/2022,0.13,"1,454,855.17",0.15,0.16,"232,776.83",0.06
eBay,31/12/2022,0.11,"1,188,316.81",0.15,0.16,"190,130.69",0.06
eBay_ES,31/01/2022,0.07,"28,038.51",2.00,0.18,"5,046.93",0.00
eBay_ES,28/02/2022,0.06,"25,753.89",2.00,0.18,"4,635.70",0.00
eBay_ES,31/03/2022,0.07,"30,738.51",2.00,0.18,"5,532.93",0.00
eBay_ES,30/04/2022,0.07,"30,323.13",2.00,0.18,"5,458.16",0.00
eBay_ES,31/05/2022,0.08,"31,569.28",2.00,0.18,"5,682.47",0.00
eBay_ES,30/06/2022,0.08,"32,400.05",2.00,0.18,"5,832.01",0.00
eBay_ES,31/07/2022,0.08,"32,607.74",2.00,0.18,"5,869.39",0.00
eBay_ES,31/08/2022,0.08,"32,815.44",2.00,0.18,"5,906.78",0.00
eBay_ES,30/09/2022,0.08,"34,061.59",2.00,0.18,"6,131.09",0.00
eBay_ES,31/10/2022,0.09,"38,215.45",2.00,0.18,"6,878.78",0.00
eBay_ES,30/11/2022,0.13,"54,415.47",2.00,0.18,"9,794.78",0.00
eBay_ES,31/12/2022,0.11,"44,446.22",2.00,0.18,"8,000.32",0.00
eBay_FR,31/01/2022,0.07,"68,263.17",0.50,0.18,"12,287.37",0.01
eBay_FR,28/02/2022,0.06,"62,700.98",0.50,0.18,"11,286.18",0.01
eBay_FR,31/03/2022,0.07,"74,836.66",0.50,0.18,"13,470.60",0.01
eBay_FR,30/04/2022,0.07,"73,825.35",0.50,0.18,"13,288.56",0.01
eBay_FR,31/05/2022,0.08,"76,859.27",0.50,0.18,"13,834.67",0.01
eBay_FR,30/06/2022,0.08,"78,881.88",0.50,0.18,"14,198.74",0.01
eBay_FR,31/07/2022,0.08,"79,387.54",0.50,0.18,"14,289.76",0.01
eBay_FR,31/08/2022,0.08,"79,893.19",0.50,0.18,"14,380.77",0.01
eBay_FR,30/09/2022,0.08,"82,927.11",0.50,0.18,"14,926.88",0.01
eBay_FR,31/10/2022,0.09,"93,040.17",0.50,0.18,"16,747.23",0.01
eBay_FR,30/11/2022,0.13,"132,481.11",0.50,0.18,"23,846.60",0.01
eBay_FR,31/12/2022,0.11,"108,209.76",0.50,0.18,"19,477.76",0.01
eBay_IT,31/01/2022,0.07,"44,410.63",0.75,0.18,"7,993.91",0.00
eBay_IT,28/02/2022,0.06,"40,791.99",0.75,0.18,"7,342.56",0.00
eBay_IT,31/03/2022,0.07,"48,687.21",0.75,0.18,"8,763.70",0.00
eBay_IT,30/04/2022,0.07,"48,029.28",0.75,0.18,"8,645.27",0.00
eBay_IT,31/05/2022,0.08,"50,003.08",0.75,0.18,"9,000.55",0.00
eBay_IT,30/06/2022,0.08,"51,318.95",0.75,0.18,"9,237.41",0.00
eBay_IT,31/07/2022,0.08,"51,647.92",0.75,0.18,"9,296.63",0.00
eBay_IT,31/08/2022,0.08,"51,976.89",0.75,0.18,"9,355.84",0.00
eBay_IT,30/09/2022,0.08,"53,950.69",0.75,0.18,"9,711.12",0.00
eBay_IT,31/10/2022,0.09,"60,530.05",0.75,0.18,"10,895.41",0.00
eBay_IT,30/11/2022,0.13,"86,189.52",0.75,0.18,"15,514.11",0.00
eBay_IT,31/12/2022,0.11,"70,399.08",0.75,0.18,"12,671.83",0.00
eBay_Teildefekte,31/01/2022,0.07,0.00,-1.00,,,0.00
eBay_Teildefekte,28/02/2022,0.06,0.00,-1.00,,,0.00
eBay_Teildefekte,31/03/2022,0.07,0.00,-1.00,,,0.00
eBay_Teildefekte,30/04/2022,0.07,0.00,-1.00,,,0.00
eBay_Teildefekte,31/05/2022,0.08,0.00,-1.00,,,0.00
eBay_Teildefekte,30/06/2022,0.08,0.00,-1.00,,,0.00
eBay_Teildefekte,31/07/2022,0.08,0.00,-1.00,,,0.00
eBay_Teildefekte,31/08/2022,0.08,0.00,-1.00,,,0.00
eBay_Teildefekte,30/09/2022,0.08,0.00,-1.00,,,0.00
eBay_Teildefekte,31/10/2022,0.09,0.00,-1.00,,,0.00
eBay_Teildefekte,30/11/2022,0.13,0.00,-1.00,,,0.00
eBay_Teildefekte,31/12/2022,0.11,0.00,-1.00,,,0.00
Fnac,31/01/2022,0.07,"81,799.74",1.00,0.23,"18,813.94",0.01
Fnac,28/02/2022,0.06,"75,134.58",1.00,0.23,"17,280.95",0.01
Fnac,31/03/2022,0.07,"89,676.75",1.00,0.23,"20,625.65",0.01
Fnac,30/04/2022,0.07,"88,464.90",1.00,0.23,"20,346.93",0.01
Fnac,31/05/2022,0.08,"92,100.45",1.00,0.23,"21,183.10",0.01
Fnac,30/06/2022,0.08,"94,524.14",1.00,0.23,"21,740.55",0.01
Fnac,31/07/2022,0.08,"95,130.07",1.00,0.23,"21,879.92",0.01
Fnac,31/08/2022,0.08,"95,735.99",1.00,0.23,"22,019.28",0.01
Fnac,30/09/2022,0.08,"99,371.54",1.00,0.23,"22,855.45",0.01
Fnac,31/10/2022,0.09,"111,490.02",1.00,0.23,"25,642.70",0.01
Fnac,30/11/2022,0.13,"158,752.09",1.00,0.23,"36,512.98",0.01
Fnac,31/12/2022,0.11,"129,667.74",1.00,0.23,"29,823.58",0.01
Handydortmund,31/01/2022,0.07,0.00,-1.00,,,0.00
Handydortmund,28/02/2022,0.06,0.00,-1.00,,,0.00
Handydortmund,31/03/2022,0.07,0.00,-1.00,,,0.00
Handydortmund,30/04/2022,0.07,0.00,-1.00,,,0.00
Handydortmund,31/05/2022,0.08,0.00,-1.00,,,0.00
Handydortmund,30/06/2022,0.08,0.00,-1.00,,,0.00
Handydortmund,31/07/2022,0.08,0.00,-1.00,,,0.00
Handydortmund,31/08/2022,0.08,0.00,-1.00,,,0.00
Handydortmund,30/09/2022,0.08,0.00,-1.00,,,0.00
Handydortmund,31/10/2022,0.09,0.00,-1.00,,,0.00
Handydortmund,30/11/2022,0.13,0.00,-1.00,,,0.00
Handydortmund,31/12/2022,0.11,0.00,-1.00,,,0.00
Idealo DE,31/01/2022,0.07,"144,001.15",-0.50,0.12,"17,280.14",0.01
Idealo DE,28/02/2022,0.06,"132,267.73",-0.50,0.12,"15,872.13",0.01
Idealo DE,31/03/2022,0.07,"157,867.93",-0.50,0.12,"18,944.15",0.01
Idealo DE,30/04/2022,0.07,"155,734.58",-0.50,0.12,"18,688.15",0.01
Idealo DE,31/05/2022,0.08,"162,134.63",-0.50,0.12,"19,456.16",0.01
Idealo DE,30/06/2022,0.08,"166,401.33",-0.50,0.12,"19,968.16",0.01
Idealo DE,31/07/2022,0.08,"167,468.01",-0.50,0.12,"20,096.16",0.01
Idealo DE,31/08/2022,0.08,"168,534.68",-0.50,0.12,"20,224.16",0.01
Idealo DE,30/09/2022,0.08,"174,934.74",-0.50,0.12,"20,992.17",0.01
Idealo DE,31/10/2022,0.09,"196,268.24",-0.50,0.12,"23,552.19",0.01
Idealo DE,30/11/2022,0.13,"279,468.91",-0.50,0.12,"33,536.27",0.01
Idealo DE,31/12/2022,0.11,"228,268.50",-0.50,0.12,"27,392.22",0.01
Mitarbeiter_Verkauf,31/01/2022,0.07,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,28/02/2022,0.06,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,31/03/2022,0.07,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,30/04/2022,0.07,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,31/05/2022,0.08,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,30/06/2022,0.08,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,31/07/2022,0.08,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,31/08/2022,0.08,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,30/09/2022,0.08,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,31/10/2022,0.09,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,30/11/2022,0.13,0.00,-1.00,,,0.00
Mitarbeiter_Verkauf,31/12/2022,0.11,0.00,-1.00,,,0.00
Notebook12,31/01/2022,0.07,0.00,-1.00,,,0.00
Notebook12,28/02/2022,0.06,0.00,-1.00,,,0.00
Notebook12,31/03/2022,0.07,0.00,-1.00,,,0.00
Notebook12,30/04/2022,0.07,0.00,-1.00,,,0.00
Notebook12,31/05/2022,0.08,0.00,-1.00,,,0.00
Notebook12,30/06/2022,0.08,0.00,-1.00,,,0.00
Notebook12,31/07/2022,0.08,0.00,-1.00,,,0.00
Notebook12,31/08/2022,0.08,0.00,-1.00,,,0.00
Notebook12,30/09/2022,0.08,0.00,-1.00,,,0.00
Notebook12,31/10/2022,0.09,0.00,-1.00,,,0.00
Notebook12,30/11/2022,0.13,0.00,-1.00,,,0.00
Notebook12,31/12/2022,0.11,0.00,-1.00,,,0.00
Rakuten FR,31/01/2022,0.07,"175,181.52",0.15,0.21,"36,788.12",0.01
Rakuten FR,28/02/2022,0.06,"160,907.47",0.15,0.21,"33,790.57",0.01
Rakuten FR,31/03/2022,0.07,"192,050.85",0.15,0.21,"40,330.68",0.01
Rakuten FR,30/04/2022,0.07,"189,455.57",0.15,0.21,"39,785.67",0.01
Rakuten FR,31/05/2022,0.08,"197,241.42",0.15,0.21,"41,420.70",0.01
Rakuten FR,30/06/2022,0.08,"202,431.98",0.15,0.21,"42,510.72",0.01
Rakuten FR,31/07/2022,0.08,"203,729.62",0.15,0.21,"42,783.22",0.01
Rakuten FR,31/08/2022,0.08,"205,027.26",0.15,0.21,"43,055.73",0.01
Rakuten FR,30/09/2022,0.08,"212,813.11",0.15,0.21,"44,690.75",0.01
Rakuten FR,31/10/2022,0.09,"238,765.93",0.15,0.21,"50,140.84",0.01
Rakuten FR,30/11/2022,0.13,"339,981.92",0.15,0.21,"71,396.20",0.01
Rakuten FR,31/12/2022,0.11,"277,695.15",0.15,0.21,"58,315.98",0.01
Rakuten GmbH,31/01/2022,0.07,0.00,-1.00,,,0.00
Rakuten GmbH,28/02/2022,0.06,0.00,-1.00,,,0.00
Rakuten GmbH,31/03/2022,0.07,0.00,-1.00,,,0.00
Rakuten GmbH,30/04/2022,0.07,0.00,-1.00,,,0.00
Rakuten GmbH,31/05/2022,0.08,0.00,-1.00,,,0.00
Rakuten GmbH,30/06/2022,0.08,0.00,-1.00,,,0.00
Rakuten GmbH,31/07/2022,0.08,0.00,-1.00,,,0.00
Rakuten GmbH,31/08/2022,0.08,0.00,-1.00,,,0.00
Rakuten GmbH,30/09/2022,0.08,0.00,-1.00,,,0.00
Rakuten GmbH,31/10/2022,0.09,0.00,-1.00,,,0.00
Rakuten GmbH,30/11/2022,0.13,0.00,-1.00,,,0.00
Rakuten GmbH,31/12/2022,0.11,0.00,-1.00,,,0.00
refurbed,31/01/2022,0.07,"773,044.57",0.25,0.23,"177,800.25",0.06
refurbed,28/02/2022,0.06,"710,055.75",0.25,0.23,"163,312.82",0.06
refurbed,31/03/2022,0.07,"847,485.89",0.25,0.23,"194,921.76",0.06
refurbed,30/04/2022,0.07,"836,033.38",0.25,0.23,"192,287.68",0.06
refurbed,31/05/2022,0.08,"870,390.92",0.25,0.23,"200,189.91",0.06
refurbed,30/06/2022,0.08,"893,295.94",0.25,0.23,"205,458.07",0.06
refurbed,31/07/2022,0.08,"899,022.20",0.25,0.23,"206,775.11",0.06
refurbed,31/08/2022,0.08,"904,748.46",0.25,0.23,"208,092.14",0.06
refurbed,30/09/2022,0.08,"939,105.99",0.25,0.23,"215,994.38",0.06
refurbed,31/10/2022,0.09,"1,053,631.11",0.25,0.23,"242,335.16",0.06
refurbed,30/11/2022,0.13,"1,500,279.08",0.25,0.23,"345,064.19",0.06
refurbed,31/12/2022,0.11,"1,225,418.79",0.25,0.23,"281,846.32",0.06
Webshop,31/01/2022,0.07,"7,251,702.71",0.36,0.18,"1,305,306.49",0.60
Webshop,28/02/2022,0.06,"6,660,823.23",0.36,0.18,"1,198,948.18",0.60
Webshop,31/03/2022,0.07,"7,950,014.82",0.36,0.18,"1,431,002.67",0.59
Webshop,30/04/2022,0.07,"7,842,582.19",0.36,0.18,"1,411,664.79",0.59
Webshop,31/05/2022,0.08,"8,164,880.09",0.36,0.18,"1,469,678.42",0.59
Webshop,30/06/2022,0.08,"8,379,745.35",0.36,0.18,"1,508,354.16",0.58
Webshop,31/07/2022,0.08,"8,433,461.67",0.36,0.18,"1,518,023.10",0.58
Webshop,31/08/2022,0.08,"8,487,177.99",0.36,0.18,"1,527,692.04",0.57
Webshop,30/09/2022,0.08,"8,809,475.89",0.36,0.18,"1,585,705.66",0.57
Webshop,31/10/2022,0.09,"9,883,802.21",0.36,0.18,"1,779,084.40",0.57
Webshop,30/11/2022,0.13,"14,073,674.89",0.36,0.18,"2,533,261.48",0.57
Webshop,31/12/2022,0.11,"11,495,291.70",0.36,0.18,"2,069,152.51",0.57
Webshop_ES,31/01/2022,0.07,"435,949.65",1.00,0.15,"65,392.45",0.04
Webshop_ES,28/02/2022,0.06,"400,427.83",1.00,0.15,"60,064.17",0.04
Webshop_ES,31/03/2022,0.07,"477,929.99",1.00,0.15,"71,689.50",0.04
Webshop_ES,30/04/2022,0.07,"471,471.47",1.00,0.15,"70,720.72",0.04
Webshop_ES,31/05/2022,0.08,"490,847.01",1.00,0.15,"73,627.05",0.04
Webshop_ES,30/06/2022,0.08,"503,764.04",1.00,0.15,"75,564.61",0.03
Webshop_ES,31/07/2022,0.08,"506,993.30",1.00,0.15,"76,048.99",0.03
Webshop_ES,31/08/2022,0.08,"510,222.55",1.00,0.15,"76,533.38",0.03
Webshop_ES,30/09/2022,0.08,"529,598.09",1.00,0.15,"79,439.71",0.03
Webshop_ES,31/10/2022,0.09,"594,183.23",1.00,0.15,"89,127.48",0.03
Webshop_ES,30/11/2022,0.13,"846,065.25",1.00,0.15,"126,909.79",0.03
Webshop_ES,31/12/2022,0.11,"691,060.93",1.00,0.15,"103,659.14",0.03
Webshop_FR,31/01/2022,0.07,"794,317.83",0.75,0.15,"119,147.67",0.07
Webshop_FR,28/02/2022,0.06,"729,595.64",0.75,0.15,"109,439.35",0.07
Webshop_FR,31/03/2022,0.07,"870,807.69",0.75,0.15,"130,621.15",0.07
Webshop_FR,30/04/2022,0.07,"859,040.02",0.75,0.15,"128,856.00",0.06
Webshop_FR,31/05/2022,0.08,"894,343.04",0.75,0.15,"134,151.46",0.06
Webshop_FR,30/06/2022,0.08,"917,878.38",0.75,0.15,"137,681.76",0.06
Webshop_FR,31/07/2022,0.08,"923,762.22",0.75,0.15,"138,564.33",0.06
Webshop_FR,31/08/2022,0.08,"929,646.05",0.75,0.15,"139,446.91",0.06
Webshop_FR,30/09/2022,0.08,"964,949.07",0.75,0.15,"144,742.36",0.06
Webshop_FR,31/10/2022,0.09,"1,082,625.78",0.75,0.15,"162,393.87",0.06
Webshop_FR,30/11/2022,0.13,"1,541,564.97",0.75,0.15,"231,234.75",0.06
Webshop_FR,31/12/2022,0.11,"1,259,140.86",0.75,0.15,"188,871.13",0.06
Webshop_IT,31/01/2022,0.07,"125,000.00",,0.15,"18,750.00",0.01
Webshop_IT,28/02/2022,0.06,"150,000.00",,0.15,"22,500.00",0.01
Webshop_IT,31/03/2022,0.07,"175,000.00",,0.15,"26,250.00",0.01
Webshop_IT,30/04/2022,0.07,"225,000.00",,0.15,"33,750.00",0.02
Webshop_IT,31/05/2022,0.08,"275,000.00",,0.15,"41,250.00",0.02
Webshop_IT,30/06/2022,0.08,"325,000.00",,0.15,"48,750.00",0.02
Webshop_IT,31/07/2022,0.08,"375,000.00",,0.15,"56,250.00",0.03
Webshop_IT,31/08/2022,0.08,"425,000.00",,0.15,"63,750.00",0.03
Webshop_IT,30/09/2022,0.08,"475,000.00",,0.15,"71,250.00",0.03
Webshop_IT,31/10/2022,0.09,"525,000.00",,0.15,"78,750.00",0.03
Webshop_IT,30/11/2022,0.13,"725,000.00",,0.15,"108,750.00",0.03
Webshop_IT,31/12/2022,0.11,"625,000.00",,0.15,"93,750.00",0.03
Wish,31/01/2022,0.07,0.00,,,,0.00
Wish,28/02/2022,0.06,0.00,,,,0.00
Wish,31/03/2022,0.07,0.00,,,,0.00
Wish,30/04/2022,0.07,0.00,,,,0.00
Wish,31/05/2022,0.08,0.00,,,,0.00
Wish,30/06/2022,0.08,0.00,,,,0.00
Wish,31/07/2022,0.08,0.00,,,,0.00
Wish,31/08/2022,0.08,0.00,,,,0.00
Wish,30/09/2022,0.08,0.00,,,,0.00
Wish,31/10/2022,0.09,0.00,,,,0.00
Wish,30/11/2022,0.13,0.00,,,,0.00
Wish,31/12/2022,0.11,0.00,,,,0.00
Eprice (IT),31/01/2022,0.07,"101,250.00",,0.21,"21,262.50",0.01
Eprice (IT),28/02/2022,0.06,"93,000.00",,0.21,"19,530.00",0.01
Eprice (IT),31/03/2022,0.07,"111,000.00",,0.21,"23,310.00",0.01
Eprice (IT),30/04/2022,0.07,"109,500.00",,0.21,"22,995.00",0.01
Eprice (IT),31/05/2022,0.08,"114,000.00",,0.21,"23,940.00",0.01
Eprice (IT),30/06/2022,0.08,"117,000.00",,0.21,"24,570.00",0.01
Eprice (IT),31/07/2022,0.08,"117,750.00",,0.21,"24,727.50",0.01
Eprice (IT),31/08/2022,0.08,"118,500.00",,0.21,"24,885.00",0.01
Eprice (IT),30/09/2022,0.08,"123,000.00",,0.21,"25,830.00",0.01
Eprice (IT),31/10/2022,0.09,"138,000.00",,0.21,"28,980.00",0.01
Eprice (IT),30/11/2022,0.13,"196,500.00",,0.21,"41,265.00",0.01
Eprice (IT),31/12/2022,0.11,"160,500.00",,0.21,"33,705.00",0.01
RDC (FR),31/01/2022,0.07,"67,500.00",,0.22,"14,850.00",0.01
RDC (FR),28/02/2022,0.06,"62,000.00",,0.22,"13,640.00",0.01
RDC (FR),31/03/2022,0.07,"74,000.00",,0.22,"16,280.00",0.01
RDC (FR),30/04/2022,0.07,"73,000.00",,0.22,"16,060.00",0.01
RDC (FR),31/05/2022,0.08,"76,000.00",,0.22,"16,720.00",0.01
RDC (FR),30/06/2022,0.08,"78,000.00",,0.22,"17,160.00",0.01
RDC (FR),31/07/2022,0.08,"78,500.00",,0.22,"17,270.00",0.01
RDC (FR),31/08/2022,0.08,"79,000.00",,0.22,"17,380.00",0.01
RDC (FR),30/09/2022,0.08,"82,000.00",,0.22,"18,040.00",0.01
RDC (FR),31/10/2022,0.09,"92,000.00",,0.22,"20,240.00",0.01
RDC (FR),30/11/2022,0.13,"131,000.00",,0.22,"28,820.00",0.01
RDC (FR),31/12/2022,0.11,"107,000.00",,0.22,"23,540.00",0.01
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",31/01/2022,0.07,"50,625.00",,0.22,"11,137.50",0.00
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",28/02/2022,0.06,"93,000.00",,0.22,"20,460.00",0.01
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",31/03/2022,0.07,"166,500.00",,0.22,"36,630.00",0.01
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",30/04/2022,0.07,"219,000.00",,0.22,"48,180.00",0.02
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",31/05/2022,0.08,"285,000.00",,0.22,"62,700.00",0.02
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",30/06/2022,0.08,"351,000.00",,0.22,"77,220.00",0.02
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",31/07/2022,0.08,"412,125.00",,0.22,"90,667.50",0.03
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",31/08/2022,0.08,"474,000.00",,0.22,"104,280.00",0.03
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",30/09/2022,0.08,"492,000.00",,0.22,"108,240.00",0.03
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",31/10/2022,0.09,"552,000.00",,0.22,"121,440.00",0.03
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",30/11/2022,0.13,"786,000.00",,0.22,"172,920.00",0.03
"Other Marketplaces: Amazon IT, Amazon FR, Amazon ES, LDLC, Lengow 1, Lengow 2, Lengow 3, Lengow 4",31/12/2022,0.11,"642,000.00",,0.22,"141,240.00",0.03
